DetailID,BuySellNo,GradeID,InvoiceDesc,SWeight,SWeightUOM,SPrice,SPriceUOM,SAmount,PPrice,PUOM,PAmount,PWeight,PWeightUOM,SCurrencyCd,SFxAmount,PCurrencyCd,PFxAmount,Color,DesignatedCpID,SPo,PPo,LotNo,UnitType,Units,Comment,IsReceived,IsItemReceived
22,51672,811,Mixed Pallets,0,L,0.07,L,0,400,U,400,16000,L         ,USD,0,USD,400,          ,,11562,4693,                         ,9,1,,NULL,NULL
23,51673,10082,PP Corrugated,0,L,0.14,L,0,0.075,L,0,0,L         ,USD,0,USD,0,          ,,11563,4694,                         , ,0,,NULL,NULL
24,51674,924,Cloumbus 3-7,44600,L,0.025,L,1115,0,L,0,44740,L         ,USD,1115,USD,0,          ,,11564,4695,                         ,B,42,,NULL,NULL
25,51675,757,Trader Joe pallets hdpe/pp,0,L,0.13,L,0,0.07,L,0,0,L         ,USD,0,USD,0,          ,,11565,4696,                         ,A,0,,NULL,NULL
26,51676,906,PP Regrind,40575,L,0.26,L,10549.5,0.2,L,8087,40435,L         ,USD,10549.5,USD,8087,          ,,11566,4697,                         ,G,39,,NULL,NULL
27,51677,757,Mixed pallet load,0,L,0.13,L,0,800,U,800,1,L         ,USD,0,USD,800,          ,,11567,4698,                         ,9,1,,NULL,NULL
28,51678,757,Mixed pallet load,0,L,0.13,L,0,800,U,800,1,L         ,USD,0,USD,800,          ,,11567,4698,                         ,9,1,,NULL,NULL
29,51679,818,HDPE INJECTION 5-10MI,610,L,0.2,L,122,0.05,L,30.5,610,L         ,USD,122,USD,30.5,          ,,11568,4699,                         , ,0,,NULL,NULL
32,51679,907,HDPE INJECTION GRADE B,625,L,0.07,L,43.75,0,L,0,625,L         ,USD,43.75,USD,0,          ,,11568,4699,                         , ,0,,NULL,NULL
34,51679,10041,PP COPOLYMER INJ 5-10MI,10145,L,0.15,L,1521.75,0.02,L,202.9,10145,L         ,USD,1521.75,USD,202.9,          ,,11568,4699,                         , ,0,,NULL,NULL
36,51680,925,LDPE W/Surlyn - Natural Purge Blocks,34175,L,0.195,L,6664.13,0.13,L,4442.75,34175,L         ,USD,6664.13,USD,4442.75,          ,,11557,4700,                         ,B,0,,NULL,NULL
38,51681,10041,PP COPOLYMER INJ 5-10MI,2140,L,0.15,L,321,0.015,L,32.1,2140,L         ,USD,321,USD,32.1,          ,,11569,4701,                         , ,0,,NULL,NULL
40,51682,931,LDPE Film Grade A,33860,L,0.12,L,4063.2,0.05,L,1693,33860,L         ,USD,4063.2,USD,1693,          ,,11570,4702,                         ,B,0,,NULL,NULL
41,51683,735,YUPO,1,L,150,U,150,0,L,0,880,L         ,USD,150,USD,0,          ,,11571,4703,                         ,G,1,,NULL,NULL
42,51684,784,HDPE RIGIDS GRADE B,0,L,0.02,L,0,0,L,0,0,L         ,USD,0,USD,0,          ,,11572,4704,                         , ,0,,NULL,NULL
43,51684,10041,PP COPOLYMER INJ 5-10MI,0,L,0.15,L,0,0.04,L,0,0,L         ,USD,0,USD,0,          ,,11572,4704,                         , ,0,,NULL,NULL
44,51684,738,HDPE INJECTION 1-5MI,0,L,0.13,L,0,0.025,L,0,0,L         ,USD,0,USD,0,          ,,11572,4704,                         ,A,0,,NULL,NULL
45,51684,907,HDPE INJECTION GRADE B,0,L,0.07,L,0,0,L,0,0,L         ,USD,0,USD,0,          ,,11572,4704,                         ,A,0,,NULL,NULL
46,51684,10036,HDPE HMW EXT 8-16HLMI,0,L,0.24,L,0,0.09,L,0,0,L         ,USD,0,USD,0,          ,,11572,4704,                         , ,0,,NULL,NULL
47,51684,737,HDPE STRUCT FOAM 5-10MI,0,L,0.19,L,0,0.06,L,0,0,L         ,USD,0,USD,0,          ,,11572,4704,                         ,A,0,,NULL,NULL
48,51684,818,HDPE INJECTION 5-10MI,0,L,0.2,L,0,0.06,L,0,0,L         ,USD,0,USD,0,          ,,11572,4704,                         , ,0,,NULL,NULL
49,51685,10055,LDPE HSN Bags,29160,L,0.035,L,1020.6,-20,S,-291.6,29160,L         ,USD,1020.6,USD,-291.6,          ,,11573,4705,                         , ,0,,NULL,NULL
50,51686,931,LDPE A Film,40480,L,0.09,L,3643.2,0.07,L,2845.85,40655,L         ,USD,3643.2,USD,2845.85,          ,,11574,4706,                         , ,0,,NULL,NULL
51,51687,877,LDPE Film Grade B,5760,L,0.09,L,518.4,0.04,L,230.4,5760,L         ,USD,518.4,USD,230.4,          ,,11576,4708,                         , ,0,,NULL,NULL
52,51688,931,A/B FILM,41160,L,0.09,L,3704.4,0.05,L,2058,41160,L         ,USD,3704.4,USD,2058,          ,,11575,4707,                         ,B,36,,NULL,NULL
53,51689,803,"PP Tubs & Lids (#4, #5 & #7) - NO PET BOTTLES/CLAMSHELLS",15820,L,0.11,L,1740.2,0.05,L,791,15820,L         ,USD,1740.2,USD,791,          ,,11577,4709,                         , ,0,,NULL,NULL
54,51689,842,MRP,23920,L,0.06,L,1435.2,0.05,L,1196,23920,L         ,USD,1435.2,USD,1196,          ,,11577,4709,                         , ,0,,NULL,NULL
55,51690,10011,#2 Natural,42820,L,0.42,L,17984.4,0.4,L,17128,42820,L         ,USD,17984.4,USD,17128,          ,,11578,4710,                         ,B,34,,NULL,NULL
56,51691,10013,HDPE Repro from Buckets and pales,0,L,0.36,L,0,0.33,L,0,0,L         ,USD,0,USD,0,          ,,11579,4711,                         ,G,0,,NULL,NULL
57,51692,754,"PC Regrind -  10 izod, 13 melt",41275,L,0.57,L,23526.75,0.45,L,18551.25,41225,L         ,USD,23526.75,USD,18551.25,          ,,11580,4712,                         ,G,0,,NULL,NULL
58,51693,924,2026-03-07 00:00:00,0,L,0.04,L,0,0.0115,L,0,0,L         ,USD,0,USD,0,          ,,11581,4713,                         ,B,0,,NULL,NULL
59,51694,936,Roll Out Carts - Large Wheels Removed/Casters On - Nested,5624,L,0.0625,L,351.5,-0.03,L,-168.72,5624,L         ,USD,351.5,USD,-168.72,          ,,11582,4714,                         ,B,0,,NULL,NULL
60,51661,10003,TRASH - NO VALUE,3003,L,0,L,0,0,L,0,3003,L         ,USD,0,USD,0,          ,,11552,4682,                         , ,0,,NULL,NULL
61,51695,10008,1-7 Bottles (Not Pre-Picked),44240,L,0.05,L,2212,0.01,L,442.4,44240,L         ,USD,2212,USD,442.4,          ,,11583,4715,                         ,B,29,,NULL,NULL
62,51696,10008,1-7 Bottles (Not Pre-Picked),35620,L,0.05,L,1781,0.01,L,356.2,35620,L         ,USD,1781,USD,356.2,          ,,11583,4715,                         ,B,32,,NULL,NULL
64,51698,10007,1 & 2 PET & HDPE Co-Mingled Bottles  (Post Consumer),26915,L,0.05,L,1345.75,0.01,L,272.96,27296,L         ,USD,1345.75,USD,272.96,          ,,11589,4718,                         ,B,32,,NULL,NULL
65,51699,931,LDPE Film Grade A,40660,L,0.13,L,5285.8,0.1,L,4065.5,40655,L         ,USD,5285.8,USD,4065.5,          ,,11584,4717,                         ,B,32,,NULL,NULL
66,51700,931,LDPE Film Grade A,41900,L,0.13,L,5447,0.1,L,4222,42220,L         ,USD,5447,USD,4222,          ,,11584,4717,                         ,B,32,,NULL,NULL
67,51701,10053,LDPE A,43020,L,0.09,L,3871.8,0.07,L,2772,39600,L         ,USD,3871.8,USD,2772,          ,,11585,4719,                         ,B,0,,NULL,NULL
68,51702,908,HDPE Pallets,0,L,0,L,0,0.025,L,362.5,14500,L         ,USD,0,USD,362.5,          ,,11587,4720,                         , ,0,,NULL,NULL
69,51702,10041,PP COPOLYMER INJ 5-10MI,2365,L,0.15,L,354.75,0.025,L,0,0,L         ,USD,354.75,USD,0,          ,,11587,4720,                         , ,0,,NULL,NULL
71,51703,931,LDPE Film Grade A,36620,L,0.09,L,3295.8,0.06,L,2197.2,36620,L         ,USD,3295.8,USD,2197.2,          ,,11588,4721,                         ,B,53,,NULL,NULL
72,51687,10059,LDPE Film - Contaminated,34820,L,0,L,0,0,L,0,34820,L         ,USD,0,USD,0,          ,,11576,4708,                         , ,0,,NULL,NULL
73,51672,909,HDPE Injection Pallets,6050,L,0.13,L,786.5,0,L,0,0,L         ,USD,786.5,USD,0,          ,,11562,4693,                         , ,0,,NULL,NULL
74,51672,907,HDPE Injection Grade B,3600,L,0.07,L,252,0,L,0,0,L         ,USD,252,USD,0,          ,,               ,               ,                         , ,0,,NULL,NULL
75,51672,758,hmw w/nON-cONFORM aTTACH,9190,L,0.24,L,2205.6,0,L,0,0,L         ,USD,2205.6,USD,0,          ,,               ,               ,                         , ,0,,NULL,NULL
76,51657,909,HDPE Injection Pallets,3035,L,0.2,L,607,0,L,0,0,L         ,USD,607,USD,0,          ,,11548,4677,                         , ,0,,NULL,NULL
77,51659,10080,PP Copolymer Inj 5-10 MI,1925,L,0.15,L,288.75,0.02,L,0,0,L         ,USD,288.75,USD,0,          ,,11550,4679,                         , ,0,,NULL,NULL
78,51659,909,HDPE Injection Pallets,2370,L,0.13,L,308.1,0.02,L,0,0,L         ,USD,308.1,USD,0,          ,,               ,4679,                         , ,0,,NULL,NULL
79,51659,775,PP Copolymer Unj 10-20 MI,9285,L,0.15,L,1392.75,0.02,L,0,0,L         ,USD,1392.75,USD,0,          ,,               ,4679,                         , ,0,,NULL,NULL
80,51709,10082,PP Corrugated,38820,L,0.11,L,4270.2,0.055,L,2135.1,38820,L         ,USD,4270.2,USD,2135.1,          ,,11590,4723,                         ,B,0,,NULL,NULL
81,51710,924,PP Tubs/Lids,21200,L,0.14,L,2968,0.04,L,848,21200,L         ,USD,2968,USD,848,          ,,11591,4724,                         , ,0,,NULL,NULL
82,51697,738,HDPE INJECTION 1-5MI,8715,L,0.13,L,1132.95,0.04,L,348.6,8715,L         ,USD,1132.95,USD,348.6,          ,,11586,4716,                         , ,0,,NULL,NULL
83,51697,10041,PP COPOLYMER INJ 5-10MI,2985,L,0.15,L,447.75,0.04,L,119.4,2985,L         ,USD,447.75,USD,119.4,          ,,11586,4716,                         , ,0,,NULL,NULL
84,51711,811,Mixed Pallets,0,L,0.13,L,0,200,U,200,0,L         ,USD,0,USD,200,          ,,11592,4725,                         ,9,1,,NULL,NULL
85,51712,798,Plastic Dunnage With Staples,0,L,0.07,L,0,0.025,L,0,0,L         ,USD,0,USD,0,          ,,11593,4726,                         , ,0,,NULL,NULL
86,51713,10029,HMW Drum Regrind,0,L,0.29,L,0,0.2,L,0,0,L         ,USD,0,USD,0,          ,,11594,4727,                         ,G,0,,NULL,NULL
