ref,role,user_id,alias,name-check (internal),name,street,street2,city,state_id,zip,country
2462,"Supplier,Expense",Mack McMurray,GOINS PLASTIC SOURCE INC,TRUE,GOINS PLASTIC SOURCE INC,3821 East 19th Street,,Texarkana,AR,71854,United States
1342,Supplier,Igor Beylin,DRUMCO,TRUE,DRUMCO,142 Technology Drive,,Arkadelphia,AR,71923,United States
1361,Supplier,Ricardo Pereira,ORE RECOVERED MATERIAL,TRUE,ORE RECOVERED MATERIAL,P. O. Box 1181,,Clinton,AR,72031,United States
2432,Expense,,3 RIVERS LOGISTICS INC,TRUE,3 RIVERS LOGISTICS INC,60 Doughboy Road,,Gillett,AR,72055,United States
2589,Expense,,BRUCE OAKLEY INC,TRUE,BRUCE OAKLEY INC,PO Box 17880,3400 Gribble Street,North Little Rock,AR,72114,United States
1212,"Customer,Supplier,Expense",,DELTA PLASTICS INC,TRUE,DELTA PLASTICS INC,8801 Frazier Pike,,Little Rock,AR,72206,United States
2605,"Customer,Supplier,Expense",Arthur Akopyan,TOTAL ENVIRONMENTAL,TRUE,TOTAL ENVIRONMENTAL,1421 East 15th st,,Fayetteville,AR,72701,United States
2130,"Customer,Supplier,Expense",Arthur Akopyan,TOTAL RECYCLING PAPER & PLASTIC,TRUE,TOTAL RECYCLING PAPER & PLASTIC,PO Box 1970,,Lowell,AR,72745,United States
2583,"Supplier,Expense",Igor Beylin,TYSON FOODS,TRUE,TYSON FOODS,212 E Elm Street,,Rogers,AR,72756,United States
2052,"Supplier,Expense",Arthur Akopyan,PLASTIC RECYCLERS,TRUE,PLASTIC RECYCLERS,715 Harris St.,,Springdale,AR,72764,United States
1724,"Customer,Supplier,Expense",,FRIEDMAN RECYCLING,TRUE,FRIEDMAN RECYCLING,3640 W. Lincoln St.,,Phoenix,AZ,85009,United States
1900,"Customer,Expense",,B & L POLYMER PROCESSING,TRUE,B & L POLYMER PROCESSING,4330 N 39th Ave,,Phoenix,AZ,85019,United States
2452,"Customer,Supplier,Expense",,REBOXCO INTERNATIONAL LLC,TRUE,REBOXCO INTERNATIONAL LLC,10645 N Tatum Blvd Suite 200-443,,PHOENIX,AZ,85028,United States
1674,"Customer,Expense",,ARIZONA PACIFIC PLASTICS LLC,TRUE,ARIZONA PACIFIC PLASTICS LLC,3209 S 36th Street,,Phoenix,AZ,85040,United States
1790,"Customer,Supplier,Expense",,RECYCLE 1,TRUE,RECYCLE 1,3209 S 36th St,,Phoenix,AZ,85040,United States
1297,Supplier,Arthur Buyanovskiy,HOOF'S FARRIER VET SUPPLY,TRUE,HOOF'S FARRIER VET SUPPLY,991 E. Old West Highway,,Apache Junction,AZ,85219,United States
