CRA_ID,CT_ID,RoleNm
2358,56550001,Primary
2359,56600001,Primary
2360,56650001,Primary
2361,56700001,Collections
2362,56750001,Collections
2363,56800001,Primary
2364,56850001,Primary
2365,56900001,Collections
2366,56950001,Collections
2368,57050001,Primary
2369,57100001,Collections
2370,57150001,Primary
2371,57200001,Primary
2372,57250001,Primary
2373,57300001,Collections
2374,57350001,Primary
2375,57400001,Primary
2376,57450001,Collections
2377,57500001,Primary
2378,57550001,Primary
2379,57600001,Collections
2380,57650001,Primary
2381,57700001,Primary
2382,57750001,Collections
2383,57800001,Collections
2384,57850001,Primary
2385,57900001,Primary
2386,57950001,Collections
2389,58100001,Primary
2390,58150001,Collections
2392,58250001,Primary
2393,58300001,Primary
2394,58350001,Primary
2395,58400001,Primary
2396,58450001,Primary
2397,58500001,Collections
2398,58550001,Collections
2399,58600001,Primary
2400,58650001,Primary
2401,58700001,Collections
2402,58750001,Primary
2403,58800001,Primary
2405,58900001,Primary
2406,58950001,Primary
2407,59000001,Primary
2408,59050001,Collections
2409,59100001,Primary
2410,59150001,Primary
2411,59200001,Primary
2412,59250001,Primary
2413,59300001,Primary
2414,59350001,Collections
2415,59400001,Primary
2416,59450001,Primary
2417,59500001,Collections
2418,59550001,Collections
2419,59600001,Primary
2421,59700001,Collections
2422,59750001,Primary
2423,59800001,Primary
2424,59850001,Collections
2425,59900001,Primary
2426,59950001,Primary
2427,60000001,Primary
2428,60050001,Collections
2429,60100001,Collections
2430,60150001,Primary
2432,60250001,Collections
2435,60400001,Primary
2436,60450001,Collections
2437,60500001,Primary
2438,60550001,Primary
2439,60600001,Collections
2440,60650001,Primary
2441,60700001,Primary
2442,60750001,Collections
2443,60800001,Primary
2444,60850001,Primary
2445,60900001,Primary
2446,60950001,Collections
2447,61000001,Primary
2448,61050001,Primary
2449,61100001,Primary
2450,61150001,Collections
2451,61200001,Collections
2452,61250001,Primary
2453,61300001,Primary
2454,61350001,Primary
2455,61400001,Primary
2456,61450001,Collections
2457,61500001,Collections
2458,61550001,Primary
2460,61650001,Billing
2461,61700001,Primary
2464,61850001,Collections
2465,61900001,Primary
2466,61950001,Primary
2467,62000001,Primary
2468,62050001,Primary
2469,62100001,Primary
2471,62200001,Primary
2472,62250001,Primary
2473,62300001,Collections
2474,62350001,Collections
2475,62400001,Primary
2476,62450001,Primary
2477,62500001,Primary
2478,62550001,Primary
2479,62600001,Primary
2482,62750001,Primary
2483,62800001,Primary
2484,62850001,Primary
2485,62900001,Collections
2487,63000001,Primary
2488,63050001,Primary
2489,63100001,Primary
2490,63150001,Primary
2491,63200001,Primary
2492,63250001,Primary
2493,63300001,Primary
2494,63350001,Primary
2495,63400001,Collections
2496,63450001,Primary
2497,63500001,Primary
2498,63550001,Primary
2499,63600001,Primary
2500,63650001,Collections
2501,63700001,Primary
2502,63750001,Primary
2503,63800001,Collections
2504,63850001,Primary
2506,63950001,Collections
2507,64000001,Billing
2508,64050001,Billing
2509,64100001,Pricing
2510,64150001,Primary
2511,64200001,Primary
2512,64250001,Primary
2515,64400001,Primary
2516,64450001,Collections
2517,64500001,Primary
2519,64600001,Collections
2520,64650001,Billing
2521,64700001,Billing
2522,64750001,Collections
2523,64800001,Primary
2524,64850001,Primary
2525,64900001,Primary
2526,64950001,Collections
2527,65000001,Primary
2528,65050001,Primary
2530,65150001,Primary
2531,65200001,Primary
2532,65250001,Primary
2533,65300001,Collections
2534,65350001,Primary
2535,65400001,Primary
2536,65450001,Collections
2539,65600001,Primary
2540,65650001,Primary
2541,65700001,Collections
2542,65750001,Billing
2543,65800001,Collections
2544,65850001,Primary
2545,65900001,Primary
2546,65950001,Primary
2547,66000001,Primary
2548,66050001,Primary
2549,66100001,Collections
2550,66150001,Collections
2551,66200001,Primary
2552,66250001,Billing
2554,66350001,Primary
2556,66450001,Primary
2557,66500001,Primary
2558,66550001,Primary
2560,66650001,Billing
2564,66850001,Primary
2566,66950001,Collections
2567,67000001,Primary
2568,67050001,Billing
2571,67200001,Collections
2572,67250001,Collections
2573,67300001,Primary
2574,67350001,Collections
2575,67400001,Billing
2576,67450001,Billing
2577,67500001,Billing
2578,67550001,Collections
2579,67600001,Primary
2581,67700001,Collections
2582,67750001,Billing
2583,67800001,Billing
2584,67850001,Collections
2586,67950001,Primary
2587,68000001,Collections
2588,68050001,Billing
2589,68100001,Primary
2590,68150001,Primary
2591,68200001,Primary
2592,68250001,Primary
2593,68300001,Primary
2594,68350001,Billing
2595,68400001,Primary
2596,68450001,Primary
2597,68500001,Collections
2598,68550001,Billing
2600,68650001,Primary
2601,68700001,Primary
2602,68750001,Collections
2603,68800001,Billing
2604,68850001,Pricing
2605,68900001,Billing
2606,68950001,Collections
2608,69050001,Primary
2609,69100001,Primary
2610,69150001,Primary
2611,69200001,Primary
2613,69300001,Collections
2614,69350001,Primary
2617,69500001,Collections
2618,69550001,Primary
2619,69600001,Primary
2620,69650001,Collections
2621,69700001,Billing
2622,69750001,Pricing
2623,69800001,Pricing
2624,69850001,Billing
2625,69900001,Collections
2626,69950001,Primary
2627,70000001,Primary
2628,70050001,Collections
2629,70100001,Billing
